g_id,src,dst,label
enzyme_545,1,2,6
enzyme_545,9,20,6
enzyme_545,10,21,6
enzyme_545,12,41,6
enzyme_545,14,38,6
enzyme_545,20,27,6
enzyme_545,33,16,6
enzyme_545,36,35,6
enzyme_545,37,20,6
enzyme_545,39,10,6
enzyme_545,40,39,6
enzyme_545,1,3,6
enzyme_545,3,31,6
enzyme_545,4,26,6
enzyme_545,5,36,6
enzyme_545,6,8,6
enzyme_545,9,27,6
enzyme_545,12,40,6
enzyme_545,13,9,6
enzyme_545,15,36,6
enzyme_545,18,19,6
enzyme_545,22,36,6
enzyme_545,23,33,6
enzyme_545,24,30,6
enzyme_545,25,19,6
enzyme_545,27,37,6
enzyme_545,28,31,6
enzyme_545,29,17,6
enzyme_545,32,17,6
enzyme_545,34,16,6
enzyme_545,40,10,6
enzyme_545,41,40,6
enzyme_545,1,11,6
enzyme_545,2,11,6
enzyme_545,3,28,6
enzyme_545,6,15,6
enzyme_545,7,37,6
enzyme_545,10,14,6
enzyme_545,11,28,6
enzyme_545,12,39,6
enzyme_545,13,14,6
enzyme_545,15,35,6
enzyme_545,18,26,6
enzyme_545,19,28,6
enzyme_545,21,39,6
enzyme_545,22,35,6
enzyme_545,23,34,6
enzyme_545,24,32,6
enzyme_545,25,26,6
enzyme_545,26,28,6
enzyme_545,29,24,6
enzyme_545,30,32,6
enzyme_545,33,34,6
enzyme_545,38,21,6
enzyme_545,40,21,6
enzyme_545,41,39,6
enzyme_545,2,3,6
enzyme_545,3,11,6
enzyme_545,11,31,6
enzyme_545,28,4,6
enzyme_545,4,19,6
enzyme_545,19,26,6
enzyme_545,25,18,6
enzyme_545,18,29,6
enzyme_545,29,32,6
enzyme_545,30,17,6
enzyme_545,17,24,6
enzyme_545,24,33,6
enzyme_545,23,16,6
enzyme_545,34,5,6
enzyme_545,5,35,6
enzyme_545,22,15,6
enzyme_545,6,7,6
enzyme_545,7,8,6
enzyme_545,8,37,6
enzyme_545,13,38,6
enzyme_545,14,21,6
enzyme_299,1,23,3
enzyme_299,2,24,3
enzyme_299,3,26,3
enzyme_299,4,25,3
enzyme_299,5,27,3
enzyme_299,6,28,3
enzyme_299,7,39,3
enzyme_299,8,21,3
enzyme_299,9,22,3
enzyme_299,10,20,3
enzyme_299,12,19,3
enzyme_299,13,40,3
enzyme_299,14,30,3
enzyme_299,15,32,3
enzyme_299,16,34,3
enzyme_299,17,36,3
enzyme_299,18,35,3
enzyme_299,33,15,3
enzyme_299,36,37,3
enzyme_299,37,16,3
enzyme_299,41,13,3
enzyme_299,1,24,3
enzyme_299,2,23,3
enzyme_299,7,38,3
enzyme_299,16,33,3
enzyme_299,18,17,3
enzyme_299,21,7,3
enzyme_299,26,2,3
enzyme_299,29,41,3
enzyme_299,31,15,3
enzyme_299,40,41,3
enzyme_299,1,2,3
enzyme_299,3,4,3
enzyme_299,4,5,3
enzyme_299,6,5,3
enzyme_299,8,9,3
enzyme_299,9,10,3
enzyme_299,11,20,3
enzyme_299,12,11,3
enzyme_299,13,12,3
enzyme_299,14,32,3
enzyme_299,15,34,3
enzyme_299,17,37,3
enzyme_299,18,36,3
enzyme_299,19,10,3
enzyme_299,21,22,3
enzyme_299,22,20,3
enzyme_299,24,26,3
enzyme_299,25,26,3
enzyme_299,27,28,3
enzyme_299,29,13,3
enzyme_299,30,31,3
enzyme_299,31,33,3
enzyme_299,32,33,3
enzyme_299,35,36,3
enzyme_299,36,16,3
enzyme_299,37,34,3
enzyme_299,39,21,3
enzyme_299,23,24,3
enzyme_299,3,25,3
enzyme_299,4,27,3
enzyme_299,5,28,3
enzyme_299,6,38,3
enzyme_299,38,39,3
enzyme_299,8,22,3
enzyme_299,9,20,3
enzyme_299,10,11,3
enzyme_299,11,19,3
enzyme_299,12,40,3
enzyme_299,29,30,3
enzyme_299,14,31,3
enzyme_299,31,32,3
enzyme_299,33,34,3
enzyme_299,17,35,3
enzyme_587,1,2,6
enzyme_587,3,2,6
enzyme_587,6,19,6
enzyme_587,12,13,6
enzyme_587,13,21,6
enzyme_587,19,10,6
enzyme_587,1,8,6
enzyme_587,3,1,6
enzyme_587,4,12,6
enzyme_587,5,18,6
enzyme_587,6,5,6
enzyme_587,9,11,6
enzyme_587,11,20,6
enzyme_587,12,21,6
enzyme_587,15,8,6
enzyme_587,16,7,6
enzyme_587,17,11,6
enzyme_587,1,16,6
enzyme_587,2,9,6
enzyme_587,3,9,6
enzyme_587,4,13,6
enzyme_587,6,10,6
enzyme_587,9,14,6
enzyme_587,12,20,6
enzyme_587,13,20,6
enzyme_587,14,21,6
enzyme_587,15,16,6
enzyme_587,17,14,6
enzyme_587,15,7,6
enzyme_587,7,8,6
enzyme_587,8,16,6
enzyme_587,16,2,6
enzyme_587,2,17,6
enzyme_587,17,9,6
enzyme_587,3,11,6
enzyme_587,11,14,6
enzyme_587,14,20,6
enzyme_587,20,21,6
enzyme_587,4,5,6
enzyme_587,5,10,6
enzyme_587,10,18,6
enzyme_587,18,19,6
enzyme_530,1,2,6
enzyme_530,4,5,6
enzyme_530,9,8,6
enzyme_530,13,26,6
enzyme_530,14,15,6
enzyme_530,17,18,6
enzyme_530,22,21,6
enzyme_530,34,42,6
enzyme_530,1,15,6
enzyme_530,2,3,6
enzyme_530,3,4,6
enzyme_530,7,9,6
enzyme_530,9,21,6
enzyme_530,10,24,6
enzyme_530,11,23,6
enzyme_530,12,26,6
enzyme_530,13,25,6
enzyme_530,14,2,6
enzyme_530,15,16,6
enzyme_530,16,17,6
enzyme_530,20,22,6
enzyme_530,22,8,6
enzyme_530,27,34,6
enzyme_530,28,29,6
enzyme_530,30,31,6
enzyme_530,32,33,6
enzyme_530,35,34,6
enzyme_530,36,29,6
enzyme_530,37,28,6
enzyme_530,38,31,6
enzyme_530,39,30,6
enzyme_530,40,33,6
enzyme_530,41,32,6
enzyme_530,42,27,6
enzyme_530,6,8,6
enzyme_530,7,8,6
enzyme_530,9,23,6
